Date,Month,Store_ID,Store_Name,Region,Format,Footfall,Transactions,Conversion_Rate,Basket_Size_VND,Units_Per_Transaction,Avg_Selling_Price_VND,Revenue_Target_VND,Revenue_Actual_VND,Gross_Margin_Rate,Shrinkage_Amt_VND,Shrinkage_Rate,Operating_Cost_VND,Operating_Cost_Rate,Labor_Hours,OT_Hours,Productivity_VND_per_Labor_Hour,Productivity_Target_VND_per_Labor_Hour,Attendance_Rate,Audit_Score,Stock_Availability_Rate,NPS,Complaints,On_Time_Opening_Flag,Target_Attainment_Pct
2025-01-01,2025-01-01,S001,Vincom Central,South,Hypermarket,1980,423,0.2137,276859,4.21,65762,114092874,117111357,0.2145,597268,0.0051,13514651,0.1154,221,10.6,529916,662964,0.9635,89.3,0.984,74.6,1,1,1.0265
2025-01-01,2025-01-01,S002,District 7 Hub,South,Supermarket,1027,259,0.252,231860,4.04,57391,57325857,60051740,0.1904,282243,0.0047,7812731,0.1301,130,0,461936,366956,0.9557,86.8,0.9789,71.4,2,1,1.0476
2025-01-01,2025-01-01,S003,Thu Duc Family,South,Supermarket,1682,343,0.2037,337703,3.43,98456,105571650,115832129,0.1995,776075,0.0067,15614171,0.1348,125,5.2,926657,361703,0.9341,85.8,0.9721,71.1,2,1,1.0972
2025-01-01,2025-01-01,S004,Ha Noi Prime,North,Hypermarket,2035,561,0.2758,354594,4.54,78104,192261163,198927234,0.2201,1472062,0.0074,26676142,0.1341,239,9.7,832332,608236,0.9609,88.4,0.9618,70.8,2,1,1.0347
2025-01-01,2025-01-01,S005,Cau Giay Fresh,North,Supermarket,1242,251,0.2019,254837,2.65,96165,53593563,63964087,0.2118,358199,0.0056,8577584,0.1341,135,13.1,473808,371390,0.9951,89.9,0.9744,77.6,4,1,1.1935
2025-01-01,2025-01-01,S006,Hai Phong Gateway,North,Supermarket,1740,413,0.2371,279190,2.76,101156,105624433,115305470,0.2588,876322,0.0076,16880721,0.1464,132,8.1,873526,454800,0.9376,82.9,0.9876,71.6,2,1,1.0917
2025-01-01,2025-01-01,S007,Da Nang Beachside,Central,Supermarket,1554,308,0.1982,226074,2.45,92275,72267741,69630792,0.1945,334228,0.0048,8717775,0.1252,132,6.7,527506,380916,0.9665,88.3,0.9732,76.3,2,1,0.9635
2025-01-01,2025-01-01,S008,Hue Riverside,Central,Convenience Plus,869,235,0.27,339955,3.67,92631,68882135,79889425,0.2033,303580,0.0038,11895535,0.1489,85,10.2,939876,337040,0.9529,89.1,0.985,60.8,4,1,1.1598
2025-01-01,2025-01-01,S009,Can Tho Market,South,Convenience Plus,928,201,0.2171,305089,2.64,115564,57502181,61322889,0.2317,300482,0.0049,9069655,0.1479,85,9.3,721446,284862,0.96,88.1,0.9781,78.7,4,1,1.0664
2025-01-01,2025-01-01,S010,Bien Hoa Value,South,Supermarket,1632,389,0.2382,250496,4.06,61699,101431376,97442944,0.216,867242,0.0089,11839318,0.1215,119,6.1,818848,506001,0.9537,90.7,0.9868,79.0,0,1,0.9607
2025-01-02,2025-01-01,S001,Vincom Central,South,Hypermarket,2307,494,0.2142,301637,3.47,86927,114092874,149008678,0.1997,774845,0.0052,16852881,0.1131,220,11.4,677312,662964,0.969,89.7,0.9737,77.5,2,1,1.306
2025-01-02,2025-01-01,S002,District 7 Hub,South,Supermarket,1191,305,0.2558,216822,2.55,85028,57325857,66130710,0.2008,396784,0.006,8319243,0.1258,150,18.9,440871,366956,0.9386,93.2,0.9683,78.6,1,1,1.1536
2025-01-02,2025-01-01,S003,Thu Duc Family,South,Supermarket,1833,369,0.2012,322446,2.69,119868,105571650,118982574,0.2089,868573,0.0073,16312511,0.1371,137,15.3,868486,361703,0.9347,90.6,0.9751,68.5,2,1,1.127
2025-01-02,2025-01-01,S004,Ha Noi Prime,North,Hypermarket,2354,594,0.2523,331918,3.03,109544,192261163,197159292,0.2123,1794150,0.0091,26202470,0.1329,217,5.6,908568,608236,0.9557,87.7,0.9902,69.2,2,1,1.0255
2025-01-02,2025-01-01,S005,Cau Giay Fresh,North,Supermarket,1173,249,0.2124,263817,2.74,96284,53593563,65690433,0.2099,216778,0.0033,9341180,0.1422,132,14.7,497655,371390,0.9714,91.6,0.9673,70.9,0,1,1.2257
2025-01-02,2025-01-01,S006,Hai Phong Gateway,North,Supermarket,1836,414,0.2254,249452,4.56,54704,105624433,103273128,0.25,475056,0.0046,14158746,0.1371,133,9.9,776490,454800,0.9461,90.5,0.9699,69.8,2,0,0.9777
2025-01-02,2025-01-01,S007,Da Nang Beachside,Central,Supermarket,1662,317,0.1908,236101,4.45,53056,72267741,74844017,0.2045,464033,0.0062,10261115,0.1371,139,7.0,538446,380916,0.9817,91.3,0.9685,59.6,0,1,1.0356
2025-01-02,2025-01-01,S008,Hue Riverside,Central,Convenience Plus,877,219,0.2498,336264,2.79,120525,68882135,73641816,0.2074,301931,0.0041,10221484,0.1388,78,3.0,944126,337040,0.9826,97.7,0.9809,72.6,0,1,1.0691
2025-01-02,2025-01-01,S009,Can Tho Market,South,Convenience Plus,993,206,0.2078,280689,4.42,63504,57502181,57821934,0.2355,329585,0.0057,8332141,0.1441,85,7.5,680258,284862,0.981,84.1,0.9762,68.6,6,1,1.0056
2025-01-02,2025-01-01,S010,Bien Hoa Value,South,Supermarket,1801,483,0.268,259249,2.46,105386,101431376,125217267,0.2314,939130,0.0075,15013550,0.1199,130,15.8,963210,506001,0.9666,93.1,0.9815,67.0,2,1,1.2345
2025-01-03,2025-01-01,S001,Vincom Central,South,Hypermarket,2129,399,0.1876,292403,3.54,82600,114092874,116668797,0.2145,630012,0.0054,13055238,0.1119,218,7.2,535178,662964,0.9542,80.8,0.9735,83.8,2,1,1.0226
2025-01-03,2025-01-01,S002,District 7 Hub,South,Supermarket,1322,322,0.2434,235949,3.12,75625,57325857,75975578,0.1968,417866,0.0055,9344996,0.123,153,14.6,496572,366956,0.9588,87.7,0.9695,74.6,1,1,1.3253
2025-01-03,2025-01-01,S003,Thu Duc Family,South,Supermarket,1719,375,0.2182,338201,3.11,108746,105571650,126825375,0.204,1103381,0.0087,16373156,0.1291,131,7.3,968133,361703,0.9599,84.8,0.9802,70.3,0,1,1.2013
2025-01-03,2025-01-01,S004,Ha Noi Prime,North,Hypermarket,2725,704,0.2582,335072,4.17,80353,192261163,235890688,0.2054,2005071,0.0085,28306883,0.12,224,6.6,1053083,608236,0.999,93.4,0.9672,76.9,0,1,1.2269
2025-01-03,2025-01-01,S005,Cau Giay Fresh,North,Supermarket,1178,242,0.2051,269132,4.29,62735,53593563,65129944,0.2244,234468,0.0036,8421302,0.1293,118,6.8,551949,371390,0.9699,86.1,0.9786,58.5,0,1,1.2153
2025-01-03,2025-01-01,S006,Hai Phong Gateway,North,Supermarket,2093,489,0.2335,256248,4.06,63115,105624433,125305272,0.2567,939790,0.0075,18018898,0.1438,145,16.7,864174,454800,0.9806,83.7,0.9564,73.4,7,1,1.1863
2025-01-03,2025-01-01,S007,Da Nang Beachside,Central,Supermarket,1658,360,0.2173,240102,2.93,81946,72267741,86436720,0.1918,380322,0.0044,10916958,0.1263,138,13.2,626353,380916,0.9655,86.0,0.9642,70.4,7,1,1.1961
